s.no,Name,Location,Year,KmDriven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,doubleKmDriven
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,82000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,12.5,41000
2,Honda Jazz V,Chennai,2011,92000,Petrol,Manual,First,13 km/kg,1199 CC,88.7 bhp,5.0,8.61 Lakh,4.5,46000
3,Maruti Ertiga VDI,Chennai,2012,174000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,6.0,87000
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,81340,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5.0,,17.74,40670
6,Nissan Micra Diesel XV,Jaipur,2013,347996,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,3.5,173998
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,72000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8.0,21 Lakh,17.5,36000
8,Volkswagen Vento Diesel Comfortline,Pune,2013,128860,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,5.2,64430
9,Tata Indica Vista Quadrajet LS,Chennai,2012,131864,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5.0,,1.95,65932
10,Maruti Ciaz Zeta,Kochi,2018,51384,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5.0,10.65 Lakh,9.95,25692
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,120000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.49,60000
12,Maruti Swift VDI BSIV,Jaipur,2015,128848,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,5.6,64424
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,144000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,27.0,72000
14,Land Rover Freelander 2 TD4 SE,Pune,2012,170000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5.0,,17.5,85000
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,220000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,32.01 Lakh,15.0,110000
16,Honda Amaze S i-Dtech,Kochi,2016,117900,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,5.4,58950
17,Maruti Swift DDiS VDI,Jaipur,2017,50000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,5.99,25000
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,309876,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,6.34,154938
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,157000,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5.0,,28.0,78500
20,BMW 3 Series 320d,Kochi,2014,65964,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,47.87 Lakh,18.55,32982
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,110784,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5.0,,8.25,55392
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,223940,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5.0,,23.5,111970
23,Hyundai i20 1.2 Magna,Kolkata,2010,183228,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,1.87,91614
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,66000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5.0,,2.85,33000
25,Honda City Corporate Edition,Mumbai,2012,103840,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.25,51920
26,Nissan Micra Diesel XV,Hyderabad,2012,108000,Diesel,Manual,First,16.48 km/kg,1461 CC,63.1 bhp,5.0,,4.25,54000
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,108000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.75,54000
28,Honda WRV i-VTEC VX,Kochi,2018,74860,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5.0,10.57 Lakh,9.9,37430
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,524000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7.0,,4.0,262000
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,124000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,7.75,62000
31,Toyota Corolla Altis G,Delhi,2012,350460,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5.0,,6.75,175230
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,144000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7.0,,12.5,72000
33,Audi A6 2.7 TDI,Kolkata,2010,70000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5.0,,11.5,35000
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,221724,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5.0,12.33 Lakh,6.98,110862
35,Maruti Wagon R LXI BSIII,Jaipur,2009,167632,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5.0,,1.85,83816
